name,planning_horizon,region,carrier,min,max
tct_biomass,2030,all,biomass,,1022.9
tct_geothermal,2030,all,geothermal,,2719.7
tct_steam,2030,all,"waste,oil",,909.5
tct_nuclear,2030,all,nuclear,,2323.1
tct_wind,2030,all,"onwind,offwind_floating",,16811.58
tct_solar,2030,all,solar,,57836.79
tct_hydro,2030,all,hydro,,12976.84
tct_ccgt,2030,all,"CCGT,CCGT-95CCS",,52239.02
tct_ocgt,2030,all,OCGT,,86770.18
tct_coal,2030,all,coal,,131.04999999999998
