name,nice_name
wacc_ccgt,CCGT
lifetime_ccgt,CCGT
eff_ccgt,CCGT
capfac_ccgt,CCGT
capex_ccgt95ccs,CCGT-CCS
fom_ccgt95ccs,CCGT-CCS
wacc_ccgt95ccs,CCGT-CCS
lifetime_ccgt95ccs,CCGT-CCS
eff_ccgt95ccs,CCGT-CCS
capfac_ccgt95ccs,CCGT-CCS
capex_nuclear,Nuclear
fom_nuclear,Nuclear
wacc_nuclear,Nuclear
lifetime_nuclear,Nuclear
eff_nuclear,Nuclear
capfac_nuclear,Nuclear
capex_biomass,Biomass
fom_biomass,Biomass
wacc_biomass,Biomass
lifetime_biomass,Biomass
eff_biomass,Biomass
capfac_biomass,Biomass
capex_hydro,Hydro
fom_hydro,Hydro
wacc_hydro,Hydro
lifetime_hydro,Hydro
eff_hydro,Hydro
capfac_hydro,Hydro
capex_solar,Solar
fom_solar,Solar
wacc_solar,Solar
lifetime_solar,Solar
eff_solar,Solar
capfac_solar,Solar
capex_onwind,Onshore Wind
fom_onwind,Onshore Wind
wacc_onwind,Onshore Wind
lifetime_onwind,Onshore Wind
eff_onwind,Onshore Wind
capfac_onwind,Onshore Wind
capex_offwind_floating,Offshore Wind
fom_offwind_floating,Offshore Wind
wacc_offwind_floating,Offshore Wind
lifetime_offwind_floating,Offshore Wind
eff_offwind_floating,Offshore Wind
capfac_offwind_floating,Offshore Wind
capex_4hr_battery,Battery (4hr)
fom_4hr_battery,Battery (4hr)
wacc_4hr_battery,Battery (4hr)
lifetime_4hr_battery,Battery (4hr)
eff_4hr_battery,Battery (4hr)
capfac_4hr_battery,Battery (4hr)
capex_8hr_battery,Battery (8hr)
fom_8hr_battery,Battery (8hr)
wacc_8hr_battery,Battery (8hr)
lifetime_8hr_battery,Battery (8hr)
eff_8hr_battery,Battery (8hr)
capfac_8hr_battery,Battery (8hr)
p_nom_com_gas_furnace,Commercial Gas Furnace
p_nom_res_gas_furnace,Residential Gas Furnace
p_nom_com_elec_furnace,Commercial Oil Furnace
