year,state,sector,co2_limit_mmt
2030,USA,all,9710.0
2030,AZ,all,83.0
2030,CA,all,324.0
2030,CO,all,85.4
2030,ID,all,20.5
2030,MT,all,28.5
2030,NV,all,39.4
2030,NM,all,45.9
2030,OR,all,38.5
2030,TX,all,663.5
2030,UT,all,62.1
2030,WA,all,73.8
2030,WY,all,54.6
