period,series-description,value,units,state
2018,Illinois Natural Gas Interstate Deliveries to Wisconsin (MMcf),360468.0,MMCF,IL-WI
2018,Indiana Natural Gas Interstate Deliveries to Illinois (MMcf),232901.0,MMCF,IN-IL
2018,Indiana Natural Gas Interstate Deliveries to Kentucky (MMcf),346766.0,MMCF,IN-KY
2018,Indiana Natural Gas Interstate Deliveries to Michigan (MMcf),653803.0,MMCF,IN-MI
2018,Indiana Natural Gas Interstate Deliveries to Missouri (Million Cubic Feet),5.0,MMCF,IN-MO
2018,Indiana Natural Gas Interstate Deliveries to Ohio (MMcf),566206.0,MMCF,IN-OH
2018,Kansas Natural Gas Interstate Deliveries to Colorado (MMcf),2135.0,MMCF,KS-CO
2018,Kansas Natural Gas Interstate Deliveries to Missouri (MMcf),1057812.0,MMCF,KS-MO
2018,Kansas Natural Gas Interstate Deliveries to Nebraska (MMcf),920924.0,MMCF,KS-NE
2018,Kansas Natural Gas Interstate Deliveries to Oklahoma (MMcf),7921.0,MMCF,KS-OK
2018,Kentucky Natural Gas Interstate Deliveries to Illinois (MMcf),15037.0,MMCF,KY-IL
2018,Kentucky Natural Gas Interstate Deliveries to Indiana (MMcf),138291.0,MMCF,KY-IN
2018,Kentucky Natural Gas Interstate Deliveries to Ohio (MMcf),45754.0,MMCF,KY-OH
2018,Kentucky Natural Gas Interstate Deliveries to Oklahoma (Million Cubic Feet),0.0,MMCF,KY-OK
2018,Kentucky Natural Gas Interstate Deliveries to Tennessee (MMcf),1886248.0,MMCF,KY-TN
2018,Kentucky Natural Gas Interstate Deliveries to Virginia (MMcf),3275.0,MMCF,KY-VA
2018,Kentucky Natural Gas Interstate Deliveries to West Virginia (MMcf),0.0,MMCF,KY-WV
2018,Louisiana Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,LA-AL
2018,Louisiana Natural Gas Interstate Deliveries to Arkansas (MMcf),480605.0,MMCF,LA-AR
2018,Louisiana Natural Gas Interstate Deliveries to Mississippi (MMcf),2988057.0,MMCF,LA-MS
2018,Louisiana Natural Gas Interstate Deliveries to Ohio (Million Cubic Feet),0.0,MMCF,LA-OH
2018,Louisiana Natural Gas Interstate Deliveries to Texas (MMcf),403725.0,MMCF,LA-TX
2018,Massachusetts Natural Gas Interstate Deliveries to Connecticut (MMcf),3134.0,MMCF,MA-CT
2018,Massachusetts Natural Gas Interstate Deliveries to New Hampshire (MMcf),39362.0,MMCF,MA-NH
2018,Massachusetts Natural Gas Interstate Deliveries to New York (MMcf),0.0,MMCF,MA-NY
2018,Massachusetts Natural Gas Interstate Deliveries to Rhode Island (MMcf),41236.0,MMCF,MA-RI
2018,Maryland Natural Gas Interstate Deliveries to District of Columbia (MMcf),25388.0,MMCF,MD-DC
2018,Maryland Natural Gas Interstate Deliveries to Delaware (Million Cubic Feet),0.0,MMCF,MD-DE
2018,Maryland Natural Gas Interstate Deliveries to Pennsylvania (MMcf),0.0,MMCF,MD-PA
2018,Maryland Natural Gas Interstate Deliveries to Virginia (MMcf),648694.0,MMCF,MD-VA
2018,Maine Natural Gas Interstate Deliveries to New Hampshire (MMcf),51016.0,MMCF,ME-NH
2018,Michigan Natural Gas Interstate Deliveries to Indiana (MMcf),161926.0,MMCF,MI-IN
2018,Michigan Natural Gas Interstate Deliveries to Minnesota (Million Cubic Feet),306777.0,MMCF,MI-MN
2018,Michigan Natural Gas Interstate Deliveries to Ohio (MMcf),0.0,MMCF,MI-OH
2018,Michigan Natural Gas Interstate Deliveries to Wisconsin (MMcf),403034.0,MMCF,MI-WI
2018,Minnesota Natural Gas Interstate Deliveries to Arizona (Million Cubic Feet),0.0,MMCF,MN-AZ
2018,Minnesota Natural Gas Interstate Deliveries to Iowa (MMcf),1226463.0,MMCF,MN-IA
2018,Minnesota Natural Gas Interstate Deliveries to Michigan (Million Cubic Feet),0.0,MMCF,MN-MI
2018,Minnesota Natural Gas Interstate Deliveries to North Dakota (MMcf),11409.0,MMCF,MN-ND
2018,Minnesota Natural Gas Interstate Deliveries to South Dakota (Million Cubic Feet),0.0,MMCF,MN-SD
2018,Minnesota Natural Gas Interstate Deliveries to Wisconsin (MMcf),475244.0,MMCF,MN-WI
2018,Missouri Natural Gas Interstate Deliveries to Arkansas (MMcf),13301.0,MMCF,MO-AR
2018,Missouri Natural Gas Interstate Deliveries to Iowa (MMcf),223185.0,MMCF,MO-IA
2018,Missouri Natural Gas Interstate Deliveries to Illinois (MMcf),945191.0,MMCF,MO-IL
2018,Missouri Natural Gas Interstate Deliveries to Indiana (Million Cubic Feet),0.0,MMCF,MO-IN
2018,Missouri Natural Gas Interstate Deliveries to Kansas (MMcf),210.0,MMCF,MO-KS
2018,Missouri Natural Gas Interstate Deliveries to Nebraska (Million Cubic Feet),0.0,MMCF,MO-NE
2018,Missouri Natural Gas Interstate Deliveries to Oklahoma (MMcf),0.0,MMCF,MO-OK
2018,Missouri Natural Gas Interstate Deliveries to Tennessee (Million Cubic Feet),0.0,MMCF,MO-TN
2018,Missouri Natural Gas Interstate Deliveries to Texas (Million Cubic Feet),0.0,MMCF,MO-TX
2018,Mississippi Natural Gas Interstate Deliveries to Alabama (MMcf),3523724.0,MMCF,MS-AL
2018,Mississippi Natural Gas Interstate Deliveries to Arkansas (MMcf),301644.0,MMCF,MS-AR
2018,Mississippi Natural Gas Interstate Deliveries to Louisiana (MMcf),648311.0,MMCF,MS-LA
2018,Mississippi Natural Gas Interstate Deliveries to Tennessee (MMcf),451959.0,MMCF,MS-TN
2018,Montana Natural Gas Interstate Deliveries to North Dakota (MMcf),438611.0,MMCF,MT-ND
2018,Montana Natural Gas Interstate Deliveries to Wyoming (MMcf),20666.0,MMCF,MT-WY
2018,North Carolina Natural Gas Interstate Deliveries to Alabama (Million Cubic Feet),0.0,MMCF,NC-AL
2018,North Carolina Natural Gas Interstate Deliveries to Florida (Million Cubic Feet),0.0,MMCF,NC-FL
2018,North Carolina Natural Gas Interstate Deliveries to Georgia (Million Cubic Feet),0.0,MMCF,NC-GA
2018,North Carolina Natural Gas Interstate Deliveries to South Carolina (MMcf),0.0,MMCF,NC-SC
2018,North Carolina Natural Gas Interstate Deliveries to Virginia (MMcf),0.0,MMCF,NC-VA
2018,North Dakota Interstate Movements: Deliveries of Natural Gas (Million Cubic Feet),0.0,MMCF,ND-CO
2018,North Dakota Natural Gas Interstate Deliveries to Minnesota (MMcf),523768.0,MMCF,ND-MN
2018,North Dakota Natural Gas Interstate Deliveries to Montana (MMcf),9667.0,MMCF,ND-MT
2018,North Dakota Natural Gas Interstate Deliveries to South Dakota (MMcf),839000.0,MMCF,ND-SD
2018,Nebraska Natural Gas Interstate Deliveries to Colorado (MMcf),777571.0,MMCF,NE-CO
2018,Nebraska Natural Gas Interstate Deliveries to Iowa (MMcf),754053.0,MMCF,NE-IA
2018,Nebraska Natural Gas Interstate Deliveries to Kansas (MMcf),490349.0,MMCF,NE-KS
2018,Nebraska Natural Gas Interstate Deliveries to Missouri (MMcf),226779.0,MMCF,NE-MO
2018,Nebraska Natural Gas Interstate Deliveries to South Dakota (MMcf),21106.0,MMCF,NE-SD
2018,Nebraska Natural Gas Interstate Deliveries to Wyoming (Million Cubic Feet),0.0,MMCF,NE-WY
2018,New Hampshire Natural Gas Interstate Deliveries to Massachusetts (MMcf),32962.0,MMCF,NH-MA
2018,New Hampshire Natural Gas Interstate Deliveries to Maine (MMcf),92841.0,MMCF,NH-ME
2018,New Hampshire Natural Gas Interstate Deliveries to Vermont (Million Cubic Feet),92982.0,MMCF,NH-VT
2018,New Jersey Natural Gas Interstate Deliveries to New York (MMcf),737708.0,MMCF,NJ-NY
2018,New Jersey Natural Gas Interstate Deliveries to Pennsylvania (Million Cubic Feet),0.0,MMCF,NJ-PA
