period,series-description,value,units,state
2018,Arizona Natural Gas International Deliveries to Mexico (MMcf),132689.0,MMCF,AZ-MX
2018,California Natural Gas International Deliveries to Mexico (MMcf),143940.0,MMCF,CA-MX
2018,Idaho Natural Gas International Deliveries to Canada (Million Cubic Feet),29.0,MMCF,ID-BC
2018,Maine Natural Gas International Deliveries to Canada (Million Cubic Feet),37506.0,MMCF,ME-NB
2018,Michigan Natural Gas International Deliveries to Canada (MMcf),496830.0,MMCF,MI-ON
2018,Minnesota Natural Gas International Deliveries to Canada (Million Cubic Feet),12882.0,MMCF,MN-MB
2018,Montana Natural Gas International Deliveries to Canada (MMcf),1.0,MMCF,MT-SK
2018,North Dakota Natural Gas International Deliveries to Canada (Million Cubic Feet),5.0,MMCF,ND-SK
2018,New Hampshire Natural Gas International Deliveries to Canada (Million Cubic Feet),705.0,MMCF,NH-QC
2018,New York Natural Gas International Deliveries to Canada (Million Cubic Feet),275654.0,MMCF,NY-ON
2018,Texas Natural Gas International Deliveries to Mexico (MMcf),1437341.0,MMCF,TX-MX
2018,Vermont Natural Gas International Deliveries to Canada (Million Cubic Feet),0.0,MMCF,VT-QC
2018,Washington Natural Gas International Deliveries to Canada (Million Cubic Feet),12612.0,MMCF,WA-BC
